,,,A+,A,A-,B+,B,B-,C+,C,C-,D+,D,D-,F,W,IP,NP,NR,P,S,U
,,Number of Records,,,,,,36,,,,,,,,,,,,,,
,B+,% of Total Number of Records along Grade Code Final,,,,12%,,,,,,,,,,,,,,,,
,,Number of Records,,,,78,,,,,,,,,,,,,,,,
,C,% of Total Number of Records along Grade Code Final,,,,,,,,2%,,,,,,,,,,,,
,,Number of Records,,,,,,,,13,,,,,,,,,,,,
,C-,% of Total Number of Records along Grade Code Final,,,,,,,,,1%,,,,,,,,,,,
,,Number of Records,,,,,,,,,9,,,,,,,,,,,
,C+,% of Total Number of Records along Grade Code Final,,,,,,,2%,,,,,,,,,,,,,
,,Number of Records,,,,,,,16,,,,,,,,,,,,,
,D,% of Total Number of Records along Grade Code Final,,,,,,,,,,,0%,,,,,,,,,
,,Number of Records,,,,,,,,,,,3,,,,,,,,,
,D+,% of Total Number of Records along Grade Code Final,,,,,,,,,,0%,,,,,,,,,,
,,Number of Records,,,,,,,,,,2,,,,,,,,,,
,F,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,0%,,,,,,,
,,Number of Records,,,,,,,,,,,,,3,,,,,,,
,NP,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,,,,0%,,,,
,,Number of Records,,,,,,,,,,,,,,,,2,,,,
,P,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,,,,,,2%,,
,,Number of Records,,,,,,,,,,,,,,,,,,12,,
,W,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,,0%,,,,,,
,,Number of Records,,,,,,,,,,,,,,1,,,,,,
Political Science 100E,A-,% of Total Number of Records along Grade Code Final,,,100%,,,,,,,,,,,,,,,,,
,,Number of Records,,,1,,,,,,,,,,,,,,,,,
Political Science 101,A,% of Total Number of Records along Grade Code Final,,20%,,,,,,,,,,,,,,,,,,
,,Number of Records,,152,,,,,,,,,,,,,,,,,,
,A-,% of Total Number of Records along Grade Code Final,,,34%,,,,,,,,,,,,,,,,,
,,Number of Records,,,257,,,,,,,,,,,,,,,,,
,A+,% of Total Number of Records along Grade Code Final,6%,,,,,,,,,,,,,,,,,,,
,,Number of Records,48,,,,,,,,,,,,,,,,,,,
,B,% of Total Number of Records along Grade Code Final,,,,,16%,,,,,,,,,,,,,,,
,,Number of Records,,,,,123,,,,,,,,,,,,,,,
,B-,% of Total Number of Records along Grade Code Final,,,,,,5%,,,,,,,,,,,,,,
,,Number of Records,,,,,,35,,,,,,,,,,,,,,
,B+,% of Total Number of Records along Grade Code Final,,,,11%,,,,,,,,,,,,,,,,
,,Number of Records,,,,84,,,,,,,,,,,,,,,,
,C,% of Total Number of Records along Grade Code Final,,,,,,,,3%,,,,,,,,,,,,
,,Number of Records,,,,,,,,19,,,,,,,,,,,,
,C-,% of Total Number of Records along Grade Code Final,,,,,,,,,1%,,,,,,,,,,,
,,Number of Records,,,,,,,,,4,,,,,,,,,,,
,C+,% of Total Number of Records along Grade Code Final,,,,,,,2%,,,,,,,,,,,,,
,,Number of Records,,,,,,,16,,,,,,,,,,,,,
,D,% of Total Number of Records along Grade Code Final,,,,,,,,,,,0%,,,,,,,,,
,,Number of Records,,,,,,,,,,,3,,,,,,,,,
,F,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,1%,,,,,,,
,,Number of Records,,,,,,,,,,,,,4,,,,,,,
,NP,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,,,,0%,,,,
,,Number of Records,,,,,,,,,,,,,,,,2,,,,
,P,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,,,,,,1%,,
,,Number of Records,,,,,,,,,,,,,,,,,,6,,
,W,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,,0%,,,,,,
,,Number of Records,,,,,,,,,,,,,,2,,,,,,
Political Science 102,A,% of Total Number of Records along Grade Code Final,,18%,,,,,,,,,,,,,,,,,,
,,Number of Records,,122,,,,,,,,,,,,,,,,,,
,A-,% of Total Number of Records along Grade Code Final,,,12%,,,,,,,,,,,,,,,,,
,,Number of Records,,,85,,,,,,,,,,,,,,,,,
,A+,% of Total Number of Records along Grade Code Final,4%,,,,,,,,,,,,,,,,,,,
,,Number of Records,30,,,,,,,,,,,,,,,,,,,
,B,% of Total Number of Records along Grade Code Final,,,,,15%,,,,,,,,,,,,,,,
,,Number of Records,,,,,101,,,,,,,,,,,,,,,
,B-,% of Total Number of Records along Grade Code Final,,,,,,10%,,,,,,,,,,,,,,
,,Number of Records,,,,,,67,,,,,,,,,,,,,,
,B+,% of Total Number of Records along Grade Code Final,,,,10%,,,,,,,,,,,,,,,,
,,Number of Records,,,,68,,,,,,,,,,,,,,,,
,C,% of Total Number of Records along Grade Code Final,,,,,,,,9%,,,,,,,,,,,,
,,Number of Records,,,,,,,,60,,,,,,,,,,,,
,C-,% of Total Number of Records along Grade Code Final,,,,,,,,,5%,,,,,,,,,,,
,,Number of Records,,,,,,,,,37,,,,,,,,,,,
,C+,% of Total Number of Records along Grade Code Final,,,,,,,7%,,,,,,,,,,,,,
,,Number of Records,,,,,,,50,,,,,,,,,,,,,
,D,% of Total Number of Records along Grade Code Final,,,,,,,,,,,2%,,,,,,,,,
,,Number of Records,,,,,,,,,,,11,,,,,,,,,
,D-,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,2%,,,,,,,,
,,Number of Records,,,,,,,,,,,,12,,,,,,,,
,D+,% of Total Number of Records along Grade Code Final,,,,,,,,,,3%,,,,,,,,,,
,,Number of Records,,,,,,,,,,23,,,,,,,,,,
,F,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,2%,,,,,,,
,,Number of Records,,,,,,,,,,,,,11,,,,,,,
,NP,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,,,,0%,,,,
,,Number of Records,,,,,,,,,,,,,,,,2,,,,
,P,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,,,,,,1%,,
,,Number of Records,,,,,,,,,,,,,,,,,,6,,
,W,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,,1%,,,,,,
,,Number of Records,,,,,,,,,,,,,,5,,,,,,
Political Science 103W,A-,% of Total Number of Records along Grade Code Final,,,33%,,,,,,,,,,,,,,,,,
,,Number of Records,,,1,,,,,,,,,,,,,,,,,
,B+,% of Total Number of Records along Grade Code Final,,,,67%,,,,,,,,,,,,,,,,
,,Number of Records,,,,2,,,,,,,,,,,,,,,,
Political Science 106,A,% of Total Number of Records along Grade Code Final,,18%,,,,,,,,,,,,,,,,,,
,,Number of Records,,79,,,,,,,,,,,,,,,,,,
,A-,% of Total Number of Records along Grade Code Final,,,24%,,,,,,,,,,,,,,,,,
,,Number of Records,,,109,,,,,,,,,,,,,,,,,
,A+,% of Total Number of Records along Grade Code Final,4%,,,,,,,,,,,,,,,,,,,
,,Number of Records,17,,,,,,,,,,,,,,,,,,,
,B,% of Total Number of Records along Grade Code Final,,,,,20%,,,,,,,,,,,,,,,
,,Number of Records,,,,,87,,,,,,,,,,,,,,,
,B-,% of Total Number of Records along Grade Code Final,,,,,,8%,,,,,,,,,,,,,,
,,Number of Records,,,,,,36,,,,,,,,,,,,,,
,B+,% of Total Number of Records along Grade Code Final,,,,17%,,,,,,,,,,,,,,,,
,,Number of Records,,,,74,,,,,,,,,,,,,,,,
,C,% of Total Number of Records along Grade Code Final,,,,,,,,2%,,,,,,,,,,,,
,,Number of Records,,,,,,,,10,,,,,,,,,,,,
,C-,% of Total Number of Records along Grade Code Final,,,,,,,,,2%,,,,,,,,,,,
,,Number of Records,,,,,,,,,10,,,,,,,,,,,
,C+,% of Total Number of Records along Grade Code Final,,,,,,,2%,,,,,,,,,,,,,
,,Number of Records,,,,,,,11,,,,,,,,,,,,,
,D,% of Total Number of Records along Grade Code Final,,,,,,,,,,,1%,,,,,,,,,
,,Number of Records,,,,,,,,,,,4,,,,,,,,,
,D+,% of Total Number of Records along Grade Code Final,,,,,,,,,,0%,,,,,,,,,,
,,Number of Records,,,,,,,,,,1,,,,,,,,,,
,F,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,1%,,,,,,,
,,Number of Records,,,,,,,,,,,,,6,,,,,,,
,W,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,,0%,,,,,,
,,Number of Records,,,,,,,,,,,,,,2,,,,,,
Political Science 107,A,% of Total Number of Records along Grade Code Final,,29%,,,,,,,,,,,,,,,,,,
,,Number of Records,,89,,,,,,,,,,,,,,,,,,
,A-,% of Total Number of Records along Grade Code Final,,,30%,,,,,,,,,,,,,,,,,
,,Number of Records,,,91,,,,,,,,,,,,,,,,,
,A+,% of Total Number of Records along Grade Code Final,15%,,,,,,,,,,,,,,,,,,,
,,Number of Records,46,,,,,,,,,,,,,,,,,,,
,B,% of Total Number of Records along Grade Code Final,,,,,8%,,,,,,,,,,,,,,,
,,Number of Records,,,,,23,,,,,,,,,,,,,,,
,B-,% of Total Number of Records along Grade Code Final,,,,,,1%,,,,,,,,,,,,,,
,,Number of Records,,,,,,2,,,,,,,,,,,,,,
,B+,% of Total Number of Records along Grade Code Final,,,,11%,,,,,,,,,,,,,,,,
,,Number of Records,,,,32,,,,,,,,,,,,,,,,
,C,% of Total Number of Records along Grade Code Final,,,,,,,,0%,,,,,,,,,,,,
,,Number of Records,,,,,,,,1,,,,,,,,,,,,
,C-,% of Total Number of Records along Grade Code Final,,,,,,,,,0%,,,,,,,,,,,
,,Number of Records,,,,,,,,,1,,,,,,,,,,,
,C+,% of Total Number of Records along Grade Code Final,,,,,,,2%,,,,,,,,,,,,,
,,Number of Records,,,,,,,6,,,,,,,,,,,,,
,F,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,2%,,,,,,,
,,Number of Records,,,,,,,,,,,,,5,,,,,,,
,NP,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,,,,1%,,,,
,,Number of Records,,,,,,,,,,,,,,,,2,,,,
,P,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,,,,,,2%,,
,,Number of Records,,,,,,,,,,,,,,,,,,5,,
,W,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,,0%,,,,,,
,,Number of Records,,,,,,,,,,,,,,1,,,,,,
Political Science 108,A,% of Total Number of Records along Grade Code Final,,11%,,,,,,,,,,,,,,,,,,
,,Number of Records,,5,,,,,,,,,,,,,,,,,,
,A-,% of Total Number of Records along Grade Code Final,,,5%,,,,,,,,,,,,,,,,,
,,Number of Records,,,2,,,,,,,,,,,,,,,,,
,A+,% of Total Number of Records along Grade Code Final,2%,,,,,,,,,,,,,,,,,,,
,,Number of Records,1,,,,,,,,,,,,,,,,,,,
,B,% of Total Number of Records along Grade Code Final,,,,,30%,,,,,,,,,,,,,,,
,,Number of Records,,,,,13,,,,,,,,,,,,,,,
,B-,% of Total Number of Records along Grade Code Final,,,,,,16%,,,,,,,,,,,,,,
,,Number of Records,,,,,,7,,,,,,,,,,,,,,
,B+,% of Total Number of Records along Grade Code Final,,,,11%,,,,,,,,,,,,,,,,
,,Number of Records,,,,5,,,,,,,,,,,,,,,,
,C,% of Total Number of Records along Grade Code Final,,,,,,,,11%,,,,,,,,,,,,
,,Number of Records,,,,,,,,5,,,,,,,,,,,,
,C-,% of Total Number of Records along Grade Code Final,,,,,,,,,5%,,,,,,,,,,,
,,Number of Records,,,,,,,,,2,,,,,,,,,,,
,C+,% of Total Number of Records along Grade Code Final,,,,,,,9%,,,,,,,,,,,,,
,,Number of Records,,,,,,,4,,,,,,,,,,,,,
Political Science 109,A,% of Total Number of Records along Grade Code Final,,86%,,,,,,,,,,,,,,,,,,
,,Number of Records,,43,,,,,,,,,,,,,,,,,,
,A-,% of Total Number of Records along Grade Code Final,,,6%,,,,,,,,,,,,,,,,,
,,Number of Records,,,3,,,,,,,,,,,,,,,,,
,B-,% of Total Number of Records along Grade Code Final,,,,,,2%,,,,,,,,,,,,,,
,,Number of Records,,,,,,1,,,,,,,,,,,,,,
,B+,% of Total Number of Records along Grade Code Final,,,,2%,,,,,,,,,,,,,,,,
,,Number of Records,,,,1,,,,,,,,,,,,,,,,
,C+,% of Total Number of Records along Grade Code Final,,,,,,,2%,,,,,,,,,,,,,
,,Number of Records,,,,,,,1,,,,,,,,,,,,,
,F,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,2%,,,,,,,
,,Number of Records,,,,,,,,,,,,,1,,,,,,,
Political Science 110,A,% of Total Number of Records along Grade Code Final,,13%,,,,,,,,,,,,,,,,,,
,,Number of Records,,111,,,,,,,,,,,,,,,,,,
,A-,% of Total Number of Records along Grade Code Final,,,9%,,,,,,,,,,,,,,,,,
,,Number of Records,,,72,,,,,,,,,,,,,,,,,
,A+,% of Total Number of Records along Grade Code Final,2%,,,,,,,,,,,,,,,,,,,
,,Number of Records,15,,,,,,,,,,,,,,,,,,,
,B,% of Total Number of Records along Grade Code Final,,,,,14%,,,,,,,,,,,,,,,
,,Number of Records,,,,,121,,,,,,,,,,,,,,,
,B-,% of Total Number of Records along Grade Code Final,,,,,,14%,,,,,,,,,,,,,,
,,Number of Records,,,,,,119,,,,,,,,,,,,,,
,B+,% of Total Number of Records along Grade Code Final,,,,10%,,,,,,,,,,,,,,,,
,,Number of Records,,,,83,,,,,,,,,,,,,,,,
,C,% of Total Number of Records along Grade Code Final,,,,,,,,9%,,,,,,,,,,,,
,,Number of Records,,,,,,,,78,,,,,,,,,,,,
,C-,% of Total Number of Records along Grade Code Final,,,,,,,,,7%,,,,,,,,,,,
,,Number of Records,,,,,,,,,59,,,,,,,,,,,
,C+,% of Total Number of Records along Grade Code Final,,,,,,,9%,,,,,,,,,,,,,
,,Number of Records,,,,,,,80,,,,,,,,,,,,,
,D,% of Total Number of Records along Grade Code Final,,,,,,,,,,,4%,,,,,,,,,
,,Number of Records,,,,,,,,,,,31,,,,,,,,,
,D-,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,1%,,,,,,,,
,,Number of Records,,,,,,,,,,,,10,,,,,,,,
,D+,% of Total Number of Records along Grade Code Final,,,,,,,,,,2%,,,,,,,,,,
,,Number of Records,,,,,,,,,,20,,,,,,,,,,
,F,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,3%,,,,,,,
,,Number of Records,,,,,,,,,,,,,27,,,,,,,
,NP,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,,,,0%,,,,
,,Number of Records,,,,,,,,,,,,,,,,2,,,,
,P,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,,,,,,1%,,
,,Number of Records,,,,,,,,,,,,,,,,,,8,,
,W,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,,1%,,,,,,
,,Number of Records,,,,,,,,,,,,,,11,,,,,,
Political Science 111,A,% of Total Number of Records along Grade Code Final,,18%,,,,,,,,,,,,,,,,,,
,,Number of Records,,65,,,,,,,,,,,,,,,,,,
,A-,% of Total Number of Records along Grade Code Final,,,13%,,,,,,,,,,,,,,,,,
,,Number of Records,,,47,,,,,,,,,,,,,,,,,
,A+,% of Total Number of Records along Grade Code Final,6%,,,,,,,,,,,,,,,,,,,
,,Number of Records,21,,,,,,,,,,,,,,,,,,,
,B,% of Total Number of Records along Grade Code Final,,,,,18%,,,,,,,,,,,,,,,
,,Number of Records,,,,,66,,,,,,,,,,,,,,,
,B-,% of Total Number of Records along Grade Code Final,,,,,,11%,,,,,,,,,,,,,,
,,Number of Records,,,,,,42,,,,,,,,,,,,,,
,B+,% of Total Number of Records along Grade Code Final,,,,6%,,,,,,,,,,,,,,,,
,,Number of Records,,,,22,,,,,,,,,,,,,,,,
,C,% of Total Number of Records along Grade Code Final,,,,,,,,9%,,,,,,,,,,,,
,,Number of Records,,,,,,,,33,,,,,,,,,,,,
,C-,% of Total Number of Records along Grade Code Final,,,,,,,,,4%,,,,,,,,,,,
,,Number of Records,,,,,,,,,13,,,,,,,,,,,
,C+,% of Total Number of Records along Grade Code Final,,,,,,,9%,,,,,,,,,,,,,
,,Number of Records,,,,,,,32,,,,,,,,,,,,,
,D,% of Total Number of Records along Grade Code Final,,,,,,,,,,,2%,,,,,,,,,
,,Number of Records,,,,,,,,,,,7,,,,,,,,,
,D-,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,1%,,,,,,,,
,,Number of Records,,,,,,,,,,,,2,,,,,,,,
,D+,% of Total Number of Records along Grade Code Final,,,,,,,,,,1%,,,,,,,,,,
,,Number of Records,,,,,,,,,,5,,,,,,,,,,
,F,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,1%,,,,,,,
,,Number of Records,,,,,,,,,,,,,4,,,,,,,
,NP,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,,,,0%,,,,
,,Number of Records,,,,,,,,,,,,,,,,1,,,,
,P,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,,,,,,2%,,
,,Number of Records,,,,,,,,,,,,,,,,,,7,,
,W,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,,1%,,,,,,
,,Number of Records,,,,,,,,,,,,,,2,,,,,,
Political Science 112,A,% of Total Number of Records along Grade Code Final,,50%,,,,,,,,,,,,,,,,,,
,,Number of Records,,64,,,,,,,,,,,,,,,,,,
,A-,% of Total Number of Records along Grade Code Final,,,22%,,,,,,,,,,,,,,,,,
,,Number of Records,,,28,,,,,,,,,,,,,,,,,
,B,% of Total Number of Records along Grade Code Final,,,,,9%,,,,,,,,,,,,,,,
,,Number of Records,,,,,12,,,,,,,,,,,,,,,
,B-,% of Total Number of Records along Grade Code Final,,,,,,2%,,,,,,,,,,,,,,
,,Number of Records,,,,,,3,,,,,,,,,,,,,,
,B+,% of Total Number of Records along Grade Code Final,,,,10%,,,,,,,,,,,,,,,,
,,Number of Records,,,,13,,,,,,,,,,,,,,,,
,C,% of Total Number of Records along Grade Code Final,,,,,,,,2%,,,,,,,,,,,,
,,Number of Records,,,,,,,,3,,,,,,,,,,,,
,C-,% of Total Number of Records along Grade Code Final,,,,,,,,,1%,,,,,,,,,,,
,,Number of Records,,,,,,,,,1,,,,,,,,,,,
,C+,% of Total Number of Records along Grade Code Final,,,,,,,2%,,,,,,,,,,,,,
,,Number of Records,,,,,,,3,,,,,,,,,,,,,
,F,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,1%,,,,,,,
,,Number of Records,,,,,,,,,,,,,1,,,,,,,
Political Science 120,A,% of Total Number of Records along Grade Code Final,,15%,,,,,,,,,,,,,,,,,,
,,Number of Records,,141,,,,,,,,,,,,,,,,,,
,A-,% of Total Number of Records along Grade Code Final,,,18%,,,,,,,,,,,,,,,,,
,,Number of Records,,,175,,,,,,,,,,,,,,,,,
,A+,% of Total Number of Records along Grade Code Final,4%,,,,,,,,,,,,,,,,,,,
,,Number of Records,37,,,,,,,,,,,,,,,,,,,
,B,% of Total Number of Records along Grade Code Final,,,,,18%,,,,,,,,,,,,,,,
,,Number of Records,,,,,170,,,,,,,,,,,,,,,
,B-,% of Total Number of Records along Grade Code Final,,,,,,10%,,,,,,,,,,,,,,
,,Number of Records,,,,,,95,,,,,,,,,,,,,,
,B+,% of Total Number of Records along Grade Code Final,,,,14%,,,,,,,,,,,,,,,,
,,Number of Records,,,,139,,,,,,,,,,,,,,,,
,C,% of Total Number of Records along Grade Code Final,,,,,,,,6%,,,,,,,,,,,,
,,Number of Records,,,,,,,,55,,,,,,,,,,,,
,C-,% of Total Number of Records along Grade Code Final,,,,,,,,,4%,,,,,,,,,,,
,,Number of Records,,,,,,,,,35,,,,,,,,,,,
,C+,% of Total Number of Records along Grade Code Final,,,,,,,6%,,,,,,,,,,,,,
,,Number of Records,,,,,,,59,,,,,,,,,,,,,
,D,% of Total Number of Records along Grade Code Final,,,,,,,,,,,1%,,,,,,,,,
,,Number of Records,,,,,,,,,,,6,,,,,,,,,
,D-,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,0%,,,,,,,,
,,Number of Records,,,,,,,,,,,,2,,,,,,,,
,D+,% of Total Number of Records along Grade Code Final,,,,,,,,,,1%,,,,,,,,,,
,,Number of Records,,,,,,,,,,7,,,,,,,,,,
,F,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,2%,,,,,,,
,,Number of Records,,,,,,,,,,,,,17,,,,,,,
,NP,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,,,,0%,,,,
,,Number of Records,,,,,,,,,,,,,,,,1,,,,
,P,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,,,,,,1%,,
,,Number of Records,,,,,,,,,,,,,,,,,,6,,
,W,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,,2%,,,,,,
,,Number of Records,,,,,,,,,,,,,,18,,,,,,
Political Science 120E,B,% of Total Number of Records along Grade Code Final,,,,,100%,,,,,,,,,,,,,,,
,,Number of Records,,,,,1,,,,,,,,,,,,,,,
Political Science 123,A,% of Total Number of Records along Grade Code Final,,28%,,,,,,,,,,,,,,,,,,
,,Number of Records,,164,,,,,,,,,,,,,,,,,,
,A-,% of Total Number of Records along Grade Code Final,,,13%,,,,,,,,,,,,,,,,,
,,Number of Records,,,75,,,,,,,,,,,,,,,,,
,A+,% of Total Number of Records along Grade Code Final,3%,,,,,,,,,,,,,,,,,,,
,,Number of Records,19,,,,,,,,,,,,,,,,,,,
,B,% of Total Number of Records along Grade Code Final,,,,,16%,,,,,,,,,,,,,,,
,,Number of Records,,,,,96,,,,,,,,,,,,,,,
,B-,% of Total Number of Records along Grade Code Final,,,,,,9%,,,,,,,,,,,,,,
,,Number of Records,,,,,,56,,,,,,,,,,,,,,
,B+,% of Total Number of Records along Grade Code Final,,,,16%,,,,,,,,,,,,,,,,
,,Number of Records,,,,92,,,,,,,,,,,,,,,,
,C,% of Total Number of Records along Grade Code Final,,,,,,,,3%,,,,,,,,,,,,
,,Number of Records,,,,,,,,19,,,,,,,,,,,,
,C-,% of Total Number of Records along Grade Code Final,,,,,,,,,1%,,,,,,,,,,,
,,Number of Records,,,,,,,,,5,,,,,,,,,,,
,C+,% of Total Number of Records along Grade Code Final,,,,,,,7%,,,,,,,,,,,,,
,,Number of Records,,,,,,,39,,,,,,,,,,,,,
,D,% of Total Number of Records along Grade Code Final,,,,,,,,,,,1%,,,,,,,,,
,,Number of Records,,,,,,,,,,,4,,,,,,,,,
,D-,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,0%,,,,,,,,
,,Number of Records,,,,,,,,,,,,1,,,,,,,,
,D+,% of Total Number of Records along Grade Code Final,,,,,,,,,,0%,,,,,,,,,,
,,Number of Records,,,,,,,,,,2,,,,,,,,,,
,F,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,1%,,,,,,,
,,Number of Records,,,,,,,,,,,,,8,,,,,,,
,NP,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,,,,1%,,,,
,,Number of Records,,,,,,,,,,,,,,,,3,,,,
,P,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,,,,,,0%,,
,,Number of Records,,,,,,,,,,,,,,,,,,2,,
,W,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,,1%,,,,,,
,,Number of Records,,,,,,,,,,,,,,5,,,,,,
Political Science 123E,A,% of Total Number of Records along Grade Code Final,,100%,,,,,,,,,,,,,,,,,,
,,Number of Records,,1,,,,,,,,,,,,,,,,,,
Political Science 125,A,% of Total Number of Records along Grade Code Final,,22%,,,,,,,,,,,,,,,,,,
,,Number of Records,,125,,,,,,,,,,,,,,,,,,
,A-,% of Total Number of Records along Grade Code Final,,,27%,,,,,,,,,,,,,,,,,
,,Number of Records,,,155,,,,,,,,,,,,,,,,,
,A+,% of Total Number of Records along Grade Code Final,9%,,,,,,,,,,,,,,,,,,,
,,Number of Records,51,,,,,,,,,,,,,,,,,,,
,B,% of Total Number of Records along Grade Code Final,,,,,10%,,,,,,,,,,,,,,,
,,Number of Records,,,,,58,,,,,,,,,,,,,,,
,B-,% of Total Number of Records along Grade Code Final,,,,,,7%,,,,,,,,,,,,,,
,,Number of Records,,,,,,42,,,,,,,,,,,,,,
,B+,% of Total Number of Records along Grade Code Final,,,,12%,,,,,,,,,,,,,,,,
,,Number of Records,,,,71,,,,,,,,,,,,,,,,
,C,% of Total Number of Records along Grade Code Final,,,,,,,,3%,,,,,,,,,,,,
,,Number of Records,,,,,,,,19,,,,,,,,,,,,
,C-,% of Total Number of Records along Grade Code Final,,,,,,,,,2%,,,,,,,,,,,
,,Number of Records,,,,,,,,,11,,,,,,,,,,,
,C+,% of Total Number of Records along Grade Code Final,,,,,,,4%,,,,,,,,,,,,,
,,Number of Records,,,,,,,22,,,,,,,,,,,,,
,D,% of Total Number of Records along Grade Code Final,,,,,,,,,,,0%,,,,,,,,,
,,Number of Records,,,,,,,,,,,1,,,,,,,,,
,D-,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,0%,,,,,,,,
,,Number of Records,,,,,,,,,,,,1,,,,,,,,
,D+,% of Total Number of Records along Grade Code Final,,,,,,,,,,0%,,,,,,,,,,
,,Number of Records,,,,,,,,,,1,,,,,,,,,,
,F,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,1%,,,,,,,
,,Number of Records,,,,,,,,,,,,,5,,,,,,,
,P,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,,,,,,0%,,
,,Number of Records,,,,,,,,,,,,,,,,,,1,,
,W,% of Total Number of Records along Grade Code Final,,,,,,,,,,,,,,1%,,,,,,
